,Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost,FY Total Cost  (Sub Projects)
817,Host-derived biomarker signatures to differentiate acute viral; bacterial; and fungal infection,NIAID,9530534,5R21AI132978-02,5,R21,AI,132978,2,,,9508237,"MCCLAIN, MICAH T.",Not Applicable,DUKE UNIVERSITY,,2018,198750,COMPUTER-ASSISTED ANALYSIS OF CHEMICAL SYNTHESIS
818,Cancer Prevention through Dietary Change: Training in translational neuroimaging,NCI,9756118,1F31CA232357-01A1,1,F31,CA,232357,1,A1,,14458269,"COSME, DANIELLE ",Not Applicable,UNIVERSITY OF OREGON,,2019,39535,
819,Host-derived biomarker signatures to differentiate acute viral; bacterial; and fungal infection,NIAID,9373089,1R21AI132978-01,1,R21,AI,132978,1,,,9508237,"MCCLAIN, MICAH T.",Not Applicable,DUKE UNIVERSITY,,2017,198750,National Drug Early Warning System Coordinating Center
820,Grid Computing Aids Biomedical Research at NCCU,NLM,7216815,5F38LM008882-02,5,F38,LM,8882,2,,,8427483,"MCCLELLAND, MARILYN K",Not Applicable,NORTH CAROLINA CENTRAL UNIVERSITY,,2007,137287,CORE--CLINICAL RESEARCH
821,CORE--CLINICAL RESEARCH,NHLBI,3879257,5P50HL014214-19,5,P50,HL,14214,19,,9001,3393440,"COTTON, ROBERT B",Not Applicable,VANDERBILT UNIVERSITY,,1990,,
822,Development of a Smartphone-Based Virtual Sensor for Detecting Smoking Behavior,NIDA,8494033,5R21DA034471-02,5,R21,DA,34471,2,,,6895263,"MCCLERNON, FRANCIS JOSEPH",Not Applicable,DUKE UNIVERSITY,,2013,188400,LEARNING SIMPLE ARITHMETIC PROCEDURE
823,88191,,,,,,,,,,,,,,,,,,
824,Development of a Smartphone-Based Virtual Sensor for Detecting Smoking Behavior,NIDA,8402249,1R21DA034471-01,1,R21,DA,34471,1,,,6895263,"MCCLERNON, FRANCIS JOSEPH ","ROY CHOUDHURY, ROMIT ",DUKE UNIVERSITY,,2012,196250,ELUCIDATING CENTRAL PATTERN GENERATORS
825,Enabling Audio-Haptic Interaction with Physical Objects for the Visually Impaired,NEI,9653180,5R01EY025332-04,5,R01,EY,25332,4,,,2132443,"COUGHLAN, JAMES M",Not Applicable,SMITH-KETTLEWELL EYE RESEARCH INSTITUTE,,2019,416574,
826,Leveraging Maps and Computer Vision to Support Indoor Navigation for Blind Travelers,NEI,9934891,3R01EY029033-02S1,3,R01,EY,29033,2,S1,,2132443,"COUGHLAN, JAMES M",Not Applicable,SMITH-KETTLEWELL EYE RESEARCH INSTITUTE,,2019,105337,
827,Neural representation of the geometry and functionality in a scene,NEI,9694232,5R01EY026042-04,5,R01,EY,26042,4,,,11595345,"MCCLOSKEY, MICHAEL E.",Not Applicable,JOHNS HOPKINS UNIVERSITY,,2019,318065,Leveraging Maps and Computer Vision to Support Indoor Navigation for Blind Travelers
828,Identifying palliative care needs among hospitalized patients with chronic obstructive pulmonary disease,NHLBI,9746515,5K23HL143181-02,5,K23,HL,143181,2,,,11916260,"COURTRIGHT, KATHERINE RINALDI",Not Applicable,UNIVERSITY OF PENNSYLVANIA,,2019,174140,
829,Genetic determinants of puberty and later life health outcomes,NICHD,9805815,1K99HD099330-01,NEI,,2019,9461541,5R01EY026042-03,5,R01,EY,26042,3,,,11595345,"MCCLOSKEY, MICHAEL E.",Not Applicable
830,EMBOLI CLASSIFICATION SYSTEM TO REDUCE BRAIN INJURY,NINDS,2891987,5R44NS034208-03,5,R44,NS,34208,3,,,1869786,"COX, HENRY ",Not Applicable,ORINCON CORPORATION,,1999,338826,
831,EMBOLI CLASSIFICATION SYSTEM TO REDUCE BRAIN INJURY,NINDS,2644307,2R44NS034208-02A2,2,R44,NS,34208,2,A2,,1869786,"COX, HENRY ",Not Applicable,ORINCON CORPORATION,,1998,410552,
832,COMPUTER BASED SEQUENCE ANALYSIS AND RNA VIRUS EVOLUTION,NIAID,6134247,7K04AI001277-05,7,K04,AI,1277,5,,,1877976,"MCCLURE, MARCELLA A",Not Applicable,MONTANA STATE UNIVERSITY (BOZEMAN),,1999,63885,Pilot Project Component
833,Accelerating Multi-modal Biomarker Discovery in Translational Research with Cloud Data Integration,NIGMS,9672504,5R44GM117914-03,5,R44,GM,117914,3,,,14312162,"CRAFORD, DAVID ",Not Applicable,"CYTOBANK, INC.",,2019,652516,
834,CUTANEOUS PATTERN PERCEPTION,NIDCD,3215656,3R01DC000095-22S1,3,R01,DC,95,22,S1,,1881919,"CRAIG, JAMES CHARLES",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON,,1993,90716,
835,COMPUTER-BASED SEQUENCE ANALYSIS AND RNA VIRUS EVOLUTION,NIAID,2671363,5K04AI001277-04,5,K04,AI,1277,4,,,1877976,"MCCLURE, MARCELLA A",Not Applicable,UNIVERSITY OF NEVADA LAS VEGAS,,1998,63885,CUTANEOUS PATTERN PERCEPTION
836,CUTANEOUS PATTERN PERCEPTION,NIDCD,3215658,5R01DC000095-21,5,R01,DC,95,21,,,1881919,"CRAIG, JAMES CHARLES",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON,,1991,206811,
837,CUTANEOUS PATTERN PERCEPTION,NIDCD,3215657,5R01DC000095-20,5,R01,DC,95,20,,,1881919,"CRAIG, JAMES CHARLES",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON,,1990,192523,
838,CUTANEOUS PATTERN PERCEPTION,NIDCD,3215660,7R01DC000095-19,7,R01,DC,95,19,,,1881919,"CRAIG, JAMES CHARLES",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON,,1989,230027,
839,CUTANEOUS PATTERN PERCEPTION,NINDS,3394044,5R01NS009783-18,5,R01,NS,9783,18,,,1881919,"CRAIG, JAMES CHARLES",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON,,1988,173421,
840,CUTANEOUS PATERN PERCEPTION,NINDS,3394043,5R01NS009783-17,5,R01,NS,9783,17,,,1881919,"CRAIG, JAMES CHARLES",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON,,1987,184022,
841,COMPUTER-BASED SEQUENCE ANALYSIS AND RNA VIRUS EVOLUTION,NIAID,2057512,1K04AI001277-01A1,1,K04,AI,1277,1,A1,,1877976,"MCCLURE, MARCELLA A",Not Applicable,UNIVERSITY OF NEVADA LAS VEGAS,,1995,63885,CUTANEOUS PATERN PERCEPTION
842,CUTANEOUS PATTERN PERCEPTION,NINDS,3394042,5R01NS009783-15,5,R01,NS,9783,15,,,1881919,"CRAIG, JAMES CHARLES",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON,,1985,157630,
843,COMPUTER BASED SEQUENCE ANALYSIS AND RNA VIRUS EVOLUTION,NIAID,6163865,5R01AI028309-12,5,R01,AI,28309,12,,,1877976,"MCCLURE, MARCELLA A",Not Applicable,MONTANA STATE UNIVERSITY (BOZEMAN),,2000,225156,A NON INVASIVE DERMATOLOGICAL LESION CLASSIFIER
844,A NON INVASIVE DERMATOLOGICAL LESION CLASSIFIER,NCI,6143548,2R44CA078006-02,2,R44,CA,78006,2,,,7922334,"CRAINE, ERIC R.",Not Applicable,"WESTERN RESEARCH COMPANY, INC.",,2000,363073,
845,COMPUTER BASED SEQUENCE ANALYSIS AND RNA VIRUS EVOLUTION,NONINVASIVE DERMATOLOGICAL LESION CLASSIFIER,6134233,7R01AI028309-11,7,R01,AI,28309,11,,,1877976,"MCCLURE, MARCELLA A""2645334",Not Applicable,1R43CA078006-01,MONTANA STATE UNIVERSITY (BOZEMAN),,1,R43
846,ADNI Psychometrics: Machine Learning to discern Natural History Aim 2 Supplement,NIA,9933184,3R01AG029672-08S1,3,R01,AG,29672,8,S1,,6773724,"CRANE, PAUL K",Not Applicable,UNIVERSITY OF WASHINGTON,,2019,281279,
847,Use of a machine learning framework to predict severe maternal morbidity,NICHD,NIAID,5R03HD095057-02,5,R03,HD,95057,2,,,2882156,14509408,"CREANGA, ANDREEA ALINA5R01AI028309-10",,Not Applicable,JOHNS HOPKINS UNIVERSITY,5,R01
848,Technology-supported training and quality assurance for psychosocial interventions,NIMH,9829235,1R56MH118550-01,1,R56,MH,118550,1,,,9761528,"CREED, TORREY A. ","ATKINS, DAVID CHARLES;NARAYANAN, SHRIKANTH ",UNIVERSITY OF PENNSYLVANIA,,2019,831604,
849,COMPUTER BASED SEQUENCE ANALYSIS AND RNA VIRUS EVOLUTION,NIAID,2667706,5R01AI028309-09,5,R01,AI,28309,9,,,1877976,"MCCLURE, MARCELLA A",Not Applicable,UNIVERSITY OF NEVADA LAS VEGAS,,1998,Towards a FAIR Digital Ecosystem in the Cloud,OD
850,Towards a FAIR Digital Ecosystem in the Cloud,OD,9559873,1OT3OD025456-01,1,OT3,OD,25456,1,,,12037964,"CROSAS, MERCE ",Not Applicable,HARVARD UNIVERSITY,,2018,300000,
851,COMPUTER BASED SEQUENCE ANALYSIS AND RNA VIRUS EVOLUTION,NIAID,2376333,5R01AI028309-08,5,R01,AI,28309,8,,,1877976,"MCCLURE, MARCELLA A",Not Applicable,UNIVERSITY OF NEVADA LAS VEGAS,,1997,179977,Novel Approaches for Predicting Unstructured Short Periods of Physical Activities in Youth
852,Northwestern University Clinical and Translational Science Institute (NUCATS),NCATS,9978142,5TL1TR001423-06,5,TL1,TR,1423,6,,,8873261,"MCCOLLEY, SUSANNA A",Not Applicable,NORTHWESTERN UNIVERSITY AT CHICAGO,,2020,Revealing the transcriptional and developmental mechanisms of interneuron identity,NIMH
853,Paperless Quality Donor System with Decision Making,Quantitative; non-invasive characterization of urinary stone composition and fragility using multi-energy CT and machine learning techniques,NIBIB,5,R44,HL,72635,5,,,8100433,9936447,"CUMMING, PAUL DAVID",5R01EB028591-02,"TALISMAN, LTD",5,R01,EB,28591
854,Paperless Quality Donor System with Decision Making,NHLBI,6990079,2R44HL072635-04A1,2,R44,HL,72635,4,A1,,8100433,"CUMMING, PAUL DAVID",Not Applicable,"TALISMAN, LTD",,2005,910764,
855,Quantitative; non-invasive characterization of urinary stone composition and fragility using multi-energy CT and machine learning techniques,NIBIB,9798875,1R01EB028591-01,1,R01,EB,28591,1,,,7979219,"MCCOLLOUGH, CYNTHIA H",Not Applicable,MAYO CLINIC ROCHESTER,,2019,357486,Paperless Quality Donor System with Decision Making
856,Paperless Quality Donor System with Decision Making,NHLBI,6745080,5R44HL072635-03,5,R44,HL,72635,3,,,8100433,"CUMMING, PAUL DAVID",Not Applicable,"TALISMAN, LTD",,2004,359477,
857,Cancer Genetics Program,NCI,9773909,5P30CA045508-32,5,P30,CA,45508,32,,5463,7864920,"MCCOMBIE, WILLIAM RICHARD",Not Applicable,COLD SPRING HARBOR LABORATORY,,2019,,"40534""Paperless Quality Donor System with Decision Making"""
858,Paperless Quality Donor System with Decision Making,NHLBI,6585908,1R44HL072635-01,1,R44,HL,72635,1,,,8100433,"CUMMING, PAUL DAVID",Not Applicable,"TALISMAN, LTD",,2003,119826,
859,Sedation Management in Pediatric Patients supported on *,NICHD,6796829,5R21HD045020-02,5,R21,HD,45020,2,,,6487216,"CURLEY, MARTHA AQ",Not Applicable,CHILDREN'S HOSPITAL BOSTON,,2004,176460,
860,,"40535""Sedation Management in Pediatric Patients""",NICHD,6690641,1R21HD045020-01,1,R21,HD,45020,1,,,6487216,"CURLEY, MARTHA AQ",Not Applicable,CHILDREN'S HOSPITAL BOSTON,,2003,194965
861,Dynamic; real-time prediction of alcohol use lapse using mHealth technologies,NIAAA,9709183,5R01AA024391-05,5,R01,AA,24391,5,,,2117650,"CURTIN, JOHN J.",Not Applicable,UNIVERSITY OF WISCONSIN-MADISON,,2019,381816,
862,,"40026""Contextualized daily prediction of lapse risk in opioid use disorder by digital phenotyping""",NIDA,9818617,1R01DA047315-01A1,1,R01,DA,47315,1,A1,,2117650,"CURTIN, JOHN J. ","SHAH, DHAVAN ",UNIVERSITY OF WISCONSIN-MADISON,,2019,683430
863,Digital Markers in Relapse and Recovery,NIDA,10001918,1ZIADA000628-01,1,ZIA,DA,628,1,,,16135727,"CURTIS, BRENDA ",Not Applicable,NATIONAL INSTITUTE ON DRUG ABUSE,,2019,443524,
864,Reducing HIV Vulnerability in High Risks Populations,NIDA,10001919,1ZIADA000629-01,1,ZIA,DA,629,1,,,16135727,"CURTIS, BRENDA ",Not Applicable,NATIONAL INSTITUTE ON DRUG ABUSE,,2019,430479,
865,Using the Electronic Health Record to Identify and Promote Goals-of-Care Communication for Older Patients with Serious Illness,NIA,9708591,1R01AG062441-01,1,R01,AG,62441,1,,,1886745,"CURTIS, J RANDALL ","ENGELBERG, RUTH ANN",UNIVERSITY OF WASHINGTON,,2019,777399,
866,PERCEIVING STRUCTURE IN EVENTS,NIMH,3376208,5R01MH037467-04,5,R01,MH,37467,4,,,1885505,"CUTTING, JAMES E",Not Applicable,CORNELL UNIVERSITY ITHACA,,1987,42448,
867,Single-cell multi-protein device for informative cellular function evaluation,OD,9047166,1R43OD021445-01,1,R43,OD,21445,1,,,12337336,"MCCONNELL, TIMOTHY S",Not Applicable,"ISOPLEXIS, INC.",,2016,164031,PERCEIVING STRUCTURE IN EVENTS
868,A Personalized Health Behavior System to Promote Well-Being in Older Adults,NIA,9928376,5R01AG053163-05,5,R01,AG,53163,5,,,1875454,"CZAJA, SARA J. ","PIROLLI, PETER ",WEILL MEDICAL COLL OF CORNELL UNIV,,2020,736726,
869,A Personalized Health Behavior System to Promote Well-Being in Older Adults,NIA,9791132,5R01AG053163-04,5,R01,AG,53163,4,,,1875454,"CZAJA, SARA J. ","PIROLLI, PETER ",WEILL MEDICAL COLL OF CORNELL UNIV,,2019,587119,
870,244710,A Personalized Health Behavior System to Promote Well-Being in Older Adults,NIA,9708683,7R01AG053163-03,7,R01,AG,53163,3,,,1875454,"CZAJA, SARA J. ","PIROLLI, PETER ",WEILL MEDICAL COLL OF CORNELL UNIV,,2018,589098
871,A Personalized Health Behavior System to Promote Well-Being in Older Adults,NIA,9346004,5R01AG053163-02,5,R01,AG,53163,2,,,1875454,"CZAJA, SARA J. ","PIROLLI, PETER ",UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,,2017,579139,
872,A Personalized Health Behavior System to Promote Well-Being in Older Adults,NIA,9147924,1R01AG053163-01,1,R01,AG,53163,1,,,1875454,"CZAJA, SARA J. ","PIROLLI, PETER ",UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,,2016,834282,
873,A MECHANICAL SPECTROMETER FOR BIOLOGICAL MATERIALS,NCRR,3509389,5R44RR003680-03,5,R44,RR,3680,3,,,3797982,"D'SOUZA, GERARD ",Not Applicable,"SYSTEMS APPLICATIONS, INC.",,1990,211636,
874,Predicting the Risk of Severe Hypoglycemic and Hyperglycemic Events in Adults with Diabetes,NIDDK,9747912,5K23DK114497-03,5,K23,DK,114497,3,,,12606922,"MCCOY, ROZALINA GRUBINA",Not Applicable,MAYO CLINIC ROCHESTER,,2019,168896,A MECHANICAL SPECTROMETER FOR BIOLOGICAL MATERIALS
875,Real-Time Virtual Assessment of MitraClip Placement,NHLBI,9679208,1R43HL145896-01,1,R43,HL,145896,1,,,15423639,"DABIRI, YAGHOUB  ","KASSAB, GHASSAN S","3DT HOLDINGS, LLC",,2019,289679,
876,Predicting the Risk of Severe Hypoglycemic and Hyperglycemic Events in Adults with Diabetes,NIDDK,9535990,5K23DK114497-02,5,K23,DK,114497,2,,,12606922,"MCCOY, ROZALINA GRUBINA",Not Applicable,MAYO CLINIC ROCHESTER,,2018,Genome wide profiling of histone variants in tumors,NCI
877,Precision Cardio-Metabolic Phenotyping for Genetic Discovery and Risk Prediction,VA,9744464,5IK2CX001780-02,5,IK2,VA,1780,2,,,9231626,"DAMRAUER, SCOTT MICHAEL",Not Applicable,PHILADELPHIA VA MEDICAL CENTER,,2019,,
878,Predicting the Risk of Severe Hypoglycemic and Hyperglycemic Events in Adults with Diabetes,NIDDK,9369218,1K23DK114497-01,1,K23,DK,114497,1,,,12606922,"MCCOY, ROZALINA GRUBINA",Not Applicable,MAYO CLINIC ROCHESTER,,2017,Precision Cardio-Metabolic Phenotyping for Genetic Discovery and Risk Prediction,VA
879,Quantitative Analysis,NIAMS,9718542,1P30AR074990-01,1,P30,AR,74990,1,,5324,9721736,"DANIEL, THOMAS L.",Not Applicable,UNIVERSITY OF WASHINGTON,,2019,Clinical Phenotyping Core,
880,Bayesian Methods for Longitudinal Cancer Data,NCI,7029008,5R01CA085295-07,5,R01,CA,85295,7,,,6181794,"DANIELS, MICHAEL J",Not Applicable,UNIVERSITY OF FLORIDA,,2006,123264,
881,Clinical Phenotyping Core,NICHD,9560883,5P50HD055784-12,5,P50,HD,55784,12,,8491,1908544,"MCCRACKEN, JAMES T.",Not Applicable,UNIVERSITY OF CALIFORNIA LOS ANGELES,,2018,Bayesian Methods for Longitudinal Cancer Data,NCI
882,Bayesian Methods for Longitudinal Cancer Data,NCI,6781385,2R01CA085295-05,2,R01,CA,85295,5,,,6181794,"DANIELS, MICHAEL J",Not Applicable,UNIVERSITY OF FLORIDA,,2004,100115,
883,An Intracortical Brain-Computer Interface Model for High Efficiency Development of Closed-Loop Neural Decoding Algorithms,NINDS,9817780,1R01NS109257-01A1,1,R01,NS,109257,1,A1,,9553574,"DANZIGER, ZACHARY C",Not Applicable,FLORIDA INTERNATIONAL UNIVERSITY,,2019,367007,
884,Clinical Phenotyping Core,NICHD,9388809,2P50HD055784-11,2,P50,HD,55784,11,,8491,1908544,"MCCRACKEN, JAMES T.",Not Applicable,UNIVERSITY OF CALIFORNIA LOS ANGELES,,2017,,"195870""Technologic Innovation to Enhance the Scalability and Sustainability of Trauma Center Provider Training in Suicide Safety Planning"""
885,Technologic Innovation to Enhance the Scalability and Sustainability of Trauma Center Provider Training in Suicide Safety Planning,NIMH,9821134,1K23MH118361-01A1,1,K23,MH,118361,1,A1,,11423043,"DARNELL, DOYANNE ASPEN",Not Applicable,UNIVERSITY OF WASHINGTON,,2019,154695,
886,Motion Sequencing for All: pipelining; distribution and training to enable broad adoption of a next-generation platform for behavioral and neurobehavioral analysis,NINDS,9654850,1U24NS109520-01,1,U24,NS,109520,1,,,1892479,"DATTA, SANDEEP R",Not Applicable,HARVARD MEDICAL SCHOOL,,2019,455655,
887,Data Science Core,NINDS,9823714,1U19NS113201-01,1,U19,NS,113201,1,,7917,1892479,"DATTA, SANDEEP R",Not Applicable,HARVARD MEDICAL SCHOOL,,2019,,392515
888,New Wavelet-based and Source Separation Methods for fMRI,NINDS,9751025,1R21NS107739-01A1,1,R21,NS,107739,1,A1,,8041965,"MCDONALD, CARRIE R ","BONILHA, LEONARDO F",7107885,,5R01MH067204-05,5,R01
889,New Wavelet-based and Source Separation Methods for fMRI,NIMH,6949109,5R01MH067204-04,5,R01,MH,67204,4,,,7024097,"DAUBECHIES, INGRID ",Not Applicable,PRINCETON UNIVERSITY,,2005,395000,
890,The Microscopic Imaging of Epigenetic Landscape- NeuroDevelopment (MIEL-ND) assay: a high throughput platform to screen compounds for neurodevelopmental effects,NIMH,9623072,1R41MH119621-01A1,1,R41,MH,119621,1,A1,,1882226,"MCDONOUGH, PATRICK M",Not Applicable,"VALA SCIENCES, INC.",,2018,300000,New Wavelet-based and Source Separation Methods for fMRI
891,New Wavelet-based and Source Separation Methods for fMRI,NIMH,6663283,5R01MH067204-02,5,R01,MH,67204,2,,,7024097,"DAUBECHIES, INGRID ",Not Applicable,PRINCETON UNIVERSITY,,2003,395000,
892,New Wavelet-based and Source Separation Methods for fMRI,NIMH,6554738,1R01MH067204-01,1,R01,MH,67204,1,,,7024097,"DAUBECHIES, INGRID ",Not Applicable,PRINCETON UNIVERSITY,,2002,395000,
893,Modeling and mapping multiple computational processes in human reinforcement learning,NIMH,9761233,1F32MH119797-01,1,F32,MH,119797,1,,,14167361,"MCDOUGLE, SAMUEL DAVID",Not Applicable,UNIVERSITY OF CALIFORNIA BERKELEY,,2019,60854,Pattern Analysis of fMRI via machine learning/sparse models: application to brain development
894,Mapping Heterogeneity of Neuroanatomical Imaging Signatures of Psychosis via Pattern Analysis,NIMH,9742524,5R01MH112070-03,5,R01,MH,112070,3,,,2090584,"DAVATZIKOS, CHRISTOS ",Not Applicable,UNIVERSITY OF PENNSYLVANIA,,2019,659674,
895,Tools for modeling state-dependent sensory encoding by neural populations across spatial and temporal scales,NIBIB,9774688,1R01EB028155-01,1,R01,EB,28155,1,,,8375607,"DAVID, STEPHEN V ","MESGARANI, NIMA ",OREGON HEALTH & SCIENCE UNIVERSITY,,2019,1082375,
896,PULSE PILEUP RECOVERY FOR ENERGY DISPERSIVE SPECTROSCOPY,NCRR,2703183,5R44RR008828-03,5,R44,RR,8828,3,,,1957597,"DAVILLA, SCOTT D",Not Applicable,"FOUR-PI ANALYSIS, INC.",,1998,211267,
897,Just-In-Time Fall Prevention: Development of an mHealth Intervention for Persons with Multiple Sclerosis,NIBIB,9724645,1R21EB027852-01,1,R21,EB,27852,1,,,15180030,"MCGINNIS, RYAN S.",Not Applicable,UNIVERSITY OF VERMONT & ST AGRIC COLLEGE,,2019,190538,PULSE PILEUP RECOVERY FOR ENERGY DISPERSIVE SPECTROSCOPY
898,CRCNS: Representational foundations of adaptive behavior in natural and artificial ,NIMH,9292377,5R01MH109177-03,5,R01,MH,109177,3,,,9076101,"DAW, NATHANIEL DOUGLASS",Not Applicable,PRINCETON UNIVERSITY,,2017,373529,
899,CRCNS: Representational foundations of adaptive behavior in natural and artificial ,NIMH,9126614,5R01MH109177-02,5,R01,MH,109177,2,,,9076101,"DAW, NATHANIEL DOUGLASS",Not Applicable,PRINCETON UNIVERSITY,,2016,384420,
900,Pathogenesis of the cART unresponsive Kaposi?s sarcoma tumor niche,NCI,9756172,1R01CA239263-01,1,R01,CA,239263,1,,,6735852,"MCGRATH, MICHAEL SHANNON",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",,2019,578668,CRCNS: Representational foundations of adaptive behavior in natural and artificial 
901,Automatic analysis of 3D skin images for chronic graft-versus-host disease (cGVHD) severity assessment,NIAMS,9648538,1R21AR074589-01,1,R21,AR,74589,1,,,7753539,"DAWANT, BENOIT M.",Not Applicable,VANDERBILT UNIVERSITY,,2019,179706,
902,ANALYSIS OF PROBLEMS IN OCULAR INFLAMMATORY DISEASES,NEI,3255351,5R01EY000427-20,5,R01,EY,427,20,,,1864726,"DAWSON, CHANDLER R",Not Applicable,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,,1989,182144,
903,Biosignatures of Treatment Remission in Major Depression,NIMH,9023076,3U01MH092250-04S2,3,U01,MH,92250,4,S2,,1910165,"MCGRATH, PATRICK J ","PARSEY, RAMIN V.;WEISSMAN, MYRNA M",COLUMBIA UNIVERSITY HEALTH SCIENCES,,2015,ANALYSIS OF PROBLEMS IN OCULAR INFLAMMATORY DISEASES,NEI
904,ANALYSIS OF PROBLEMS IN OCULAR INFLAMMATORY DISEASES,NEI,3255349,5R01EY000427-18,5,R01,EY,427,18,,,1864726,"DAWSON, CHANDLER R",Not Applicable,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,,1987,182001,
905,ANALYSIS OF PROBLEMS IN OCULAR INFLAMMATORY DISEASES,NEI,3255346,2R01EY000427-17,2,R01,EY,427,17,,,1864726,"DAWSON, CHANDLER R",Not Applicable,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,,1986,170471,
906,ANALYSIS OF PROBLEMS IN OCULAR INFLAMMATORY DISEASE,NEI,3255348,5R01EY000427-16,5,R01,EY,427,16,,,1864726,"DAWSON, CHANDLER R",Not Applicable,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,,1985,171835,
907,Biosignatures of Treatment Remission in Major Depression,NIMH,8512790,5U01MH092250-04,5,U01,MH,92250,4,,,1910165,"MCGRATH, PATRICK J ","PARSEY, RAMIN V.;WEISSMAN, MYRNA M",COLUMBIA UNIVERSITY HEALTH SCIENCES,,2013,1792950,Novel Approaches to Infant Screening for ASD in Pediatric Primary Care
908,EDUCATIONAL RESOURCE FOR TUMOR HETEROGENEITY,NCI,6794990,5R25CA063548-09,5,R25,CA,63548,9,,,1883977,"DAY, ROGER S.",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,2004,275246,
909,EDUCATIONAL RESOURCE FOR TUMOR HETEROGENEITY,NCI,6649296,5R25CA063548-08,5,R25,CA,63548,8,,,1883977,"DAY, ROGER S.",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,2003,267272,
910,EDUCATIONAL RESOURCE FOR TUMOR HETEROGENEITY,NCI,6534603,5R25CA063548-07,5,R25,CA,63548,7,,,1883977,"DAY, ROGER S.",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,2002,259486,
911,EDUCATIONAL RESOURCE FOR TUMOR HETEROGENEITY,NCI,6402507,5R25CA063548-06,5,R25,CA,63548,6,,,1883977,"DAY, ROGER S.",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,2001,251931,
912,EDUCATIONAL RESOURCE FOR TUMOR HETEROGENEITY,NCI,6193555,2R25CA063548-05A1,2,R25,CA,63548,5,A1,,1883977,"DAY, ROGER S.",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,2000,Biosignatures of Treatment Remission in Major Depression,244592
913,Leveraging Social Media Data and Machine Learning to Optimize Treatment Paradigms for Youth with Schizophrenia,NIMH,9739933,1R01MH117172-01A1,1,R01,MH,117172,1,A1,,12110191,"DE CHOUDHURY, MUNMUN ",Not Applicable,GEORGIA INSTITUTE OF TECHNOLOGY,,2019,682250,
914,MEDICAL INFORMATICS NETWORK-A DISTRIBUTED COMPUTING FACI,NCRR,2283220,1S10RR006460-01,1,S10,RR,6460,1,,,3642464,"DE CLARIS, NICHOLAS ",Not Applicable,UNIVERSITY OF MARYLAND BALTIMORE,,1991,383000,
915,Biosignatures of Treatment Remission in Major Depression,NIMH,8448431,3U01MH092250-02S2,3,U01,MH,92250,2,S2,,1910165,"MCGRATH, PATRICK J ","PARSEY, RAMIN V.;WEISSMAN, MYRNA M",COLUMBIA UNIVERSITY HEALTH SCIENCES,,2012,41673,Deep machine learning to delineate trajectories of vulnerability and transition to mental illness in youth
